"id","code","name"
1,"01","Thành phố Hà Nội"
2,"02","Tỉnh Hà Giang"
3,"04","Tỉnh Cao Bằng"
4,"06","Tỉnh Bắc Kạn"
5,"08","Tỉnh Tuyên Quang"
6,"10","Tỉnh Lào Cai"
7,"11","Tỉnh Điện Biên"
8,"12","Tỉnh Lai Châu"
9,"14","Tỉnh Sơn La"
10,"15","Tỉnh Yên Bái"
11,"17","Tỉnh Hoà Bình"
12,"19","Tỉnh Thái Nguyên"
13,"20","Tỉnh Lạng Sơn"
14,"22","Tỉnh Quảng Ninh"
15,"24","Tỉnh Bắc Giang"
16,"25","Tỉnh Phú Thọ"
17,"26","Tỉnh Vĩnh Phúc"
18,"27","Tỉnh Bắc Ninh"
19,"30","Tỉnh Hải Dương"
20,"31","Thành phố Hải Phòng"
21,"33","Tỉnh Hưng Yên"
22,"34","Tỉnh Thái Bình"
23,"35","Tỉnh Hà Nam"
24,"36","Tỉnh Nam Định"
25,"37","Tỉnh Ninh Bình"
26,"38","Tỉnh Thanh Hóa"
27,"40","Tỉnh Nghệ An"
28,"42","Tỉnh Hà Tĩnh"
29,"44","Tỉnh Quảng Bình"
30,"45","Tỉnh Quảng Trị"
31,"46","Thành phố Huế"
32,"48","Thành phố Đà Nẵng"
33,"49","Tỉnh Quảng Nam"
34,"51","Tỉnh Quảng Ngãi"
35,"52","Tỉnh Bình Định"
36,"54","Tỉnh Phú Yên"
37,"56","Tỉnh Khánh Hòa"
38,"58","Tỉnh Ninh Thuận"
39,"60","Tỉnh Bình Thuận"
40,"62","Tỉnh Kon Tum"
41,"64","Tỉnh Gia Lai"
42,"66","Tỉnh Đắk Lắk"
43,"67","Tỉnh Đắk Nông"
44,"68","Tỉnh Lâm Đồng"
45,"70","Tỉnh Bình Phước"
46,"72","Tỉnh Tây Ninh"
47,"74","Tỉnh Bình Dương"
48,"75","Tỉnh Đồng Nai"
49,"77","Tỉnh Bà Rịa - Vũng Tàu"
50,"79","Thành phố Hồ Chí Minh"
51,"80","Tỉnh Long An"
52,"82","Tỉnh Tiền Giang"
53,"83","Tỉnh Bến Tre"
54,"84","Tỉnh Trà Vinh"
55,"86","Tỉnh Vĩnh Long"
56,"87","Tỉnh Đồng Tháp"
57,"89","Tỉnh An Giang"
58,"91","Tỉnh Kiên Giang"
59,"92","Thành phố Cần Thơ"
60,"93","Tỉnh Hậu Giang"
61,"94","Tỉnh Sóc Trăng"
62,"95","Tỉnh Bạc Liêu"
63,"96","Tỉnh Cà Mau"
